映画・ドラマ,地雷フラグ,友人におすすめ,ワクワク,怖い,感動,イケメン・美人,胸キュン,爆発・暴力,あり得ない,勉強になる,悲しい,笑える,社会派,アクション,絵が美しい🥰
恋して悪魔,0,8.0,5.0,4.0,6.0,8.0,5.0,2.0,7.0,0.0,10.0,7.0,2.0,6.0,0.0
悪の教典,1,2.0,2.0,8.0,1.0,3.0,1.0,9.0,5.0,0.0,8.0,1.0,5.0,10.0,2.0
懺悔,0,2.0,2.0,9.0,1.0,1.0,1.0,7.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0
戦場のメリークリスマス,1,9.0,3.0,4.0,5.0,6.0,7.0,4.0,5.0,6.0,9.0,2.0,4.0,7.0,8.0
新感染ファイナル・エクスプレス,0,8.0,2.0,10.0,10.0,4.0,0.0,10.0,7.0,0.0,10.0,0.0,0.0,10.0,0.0
暗黒女子,1,6.0,5.0,9.0,2.0,7.0,0.0,3.0,7.0,2.0,2.0,2.0,3.0,1.0,5.0
最強のふたり,0,9.333333333333334,9.0,2.333333333333333,9.333333333333334,8.0,4.0,5.333333333333333,3.333333333333333,9.333333333333334,9.333333333333334,9.333333333333334,8.666666666666666,5.333333333333333,6.333333333333333
植物図鑑,0,8.0,6.0,3.0,7.0,7.0,8.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,5.0
海の上のピアニスト,0,10.0,2.0,0.0,10.0,8.0,3.0,0.0,1.5,7.0,6.0,3.0,5.0,1.0,9.0
海猿,0,9.0,4.5,7.0,9.5,9.0,5.0,7.0,2.5,6.0,6.0,0.0,1.5,6.0,0.0
清須会議,0,5.0,6.0,7.0,1.0,1.0,0.0,3.0,0.0,10.0,5.0,9.0,8.0,0.0,0.0
溺れるナイフ,0,7.0,5.0,7.0,5.0,9.0,4.0,7.0,7.0,3.0,7.0,8.0,5.0,7.0,6.0
火垂るの墓,0,7.0,3.0,7.0,6.0,3.0,1.0,4.0,0.0,8.0,8.0,0.0,10.0,0.0,9.0
燃えよ剣,1,6.0,3.0,9.0,8.0,8.0,7.0,10.0,0.0,8.0,9.0,0.0,4.0,10.0,5.0
